Year,Bachelor_Total
1870,"9,371"
1880,"12,896"
1890,"15,539"
1900,"27,410"
1910,"37,199"
1920,"48,622"
1930,"122,484"
1940,"186,500"
1950,"432,058"
1960,"392,440"
1970,"792,316"
1980,"929,417"
1981,"935,140"
1982,"952,998"
1983,"969,510"
1984,"974,309"
1985,"979,477"
1986,"987,823"
1987,"991,264"
1988,"994,829"
1989,"1,018,755"
1990,"1,051,344"
1991,"1,094,538"
1992,"1,136,553"
1993,"1,165,178"
1994,"1,169,275"
1995,"1,160,134"
1996,"1,164,792"
1997,"1,172,879"
1998,"1,184,406"
1999,"1,202,239"
2000,"1,237,875"
2001,"1,244,171"
2002,"1,291,900"
2003,"1,348,811"
2004,"1,399,760"
2005,"1,439,848"
2006,"1,485,104"
2007,"1,524,729"
2008,"1,563,734"
2009,"1,601,399"
2010,"1,649,919"
2011,"1,716,053"
2012,"1,792,163"
2013,"1,840,381"
2014,"1,870,150"
2015,"1,894,969"
2016,"1,920,750"
2017,"1,956,114"
2018,"1,980,665"
2019,"2,013,086"
2020,"2,038,682"
2021,"2,066,463"
2022,"2,015,035"
2023,"2,114,168"
2024,"2,136,037"
2025,"2,167,569"
2026,"2,217,039"
2027,"2,270,050"
2028,"2,319,984"
2029,"2,363,718"
2030,"2,402,215"
2031,"2,434,333"
2032,"2,464,382"
