Year,Recent graduates,College graduates
1990,44.1,34.0
1991,44.4,33.7
1992,47.5,34.5
1993,46.5,34.3
1994,46.5,34.0
1995,44.4,32.7
1996,43.2,32.9
1997,41.6,32.5
1998,40.6,32.5
1999,39.5,31.9
2000,38.3,31.7
2001,37.8,31.8
2002,38.5,32.4
2003,41.4,33.5
2004,44.4,34.1
2005,43.1,34.3
2006,43.2,34.4
2007,42.0,34.0
2008,42.6,33.8
2009,44.2,34.0
2010,45.4,34.6
2011,44.0,34.3
2012,45.7,34.6
2013,46.5,34.8
2014,45.1,34.7
2015,44.9,34.7
2016,44.0,34.4
2017,43.6,34.5
2018,41.6,34.2
2019,41.5,34.1
2020,41.0,33.1
2021,40.9,33.5
2022,40.3,33.5
2023,39.7,33.1
2024,40.3,32.9
2025,40.8,33.4
